,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
2679,0.599,0.78,11,-5.033,1,0.0527,0.156,0,0.189,0.529,122.077,208395,2016,53,Birdy
2680,0.71,0.783,3,-6.067,1,0.0705,0.285,2.43E-05,0.145,0.625,117.909,217040,2016,41,Rachel Platten
2687,0.559,0.895,1,-4.476,0,0.0832,0.0154,0,0.175,0.59,183.825,213093,2016,39,Panic! At The Disco
2704,0.692,0.824,9,-3.978,0,0.0509,0.0452,0,0.452,0.677,106.971,234054,2016,30,Wild Belle
2705,0.654,0.844,5,-4.709,0,0.0433,0.257,0,0.378,0.794,120.031,174480,2016,30,AudioDamn!
2708,0.531,0.874,2,-5.806,1,0.051,0.00106,4.44E-05,0.106,0.539,126.911,180454,2016,27,Blossoms
2709,0.562,0.547,0,-6.828,0,0.0329,0.121,2.58E-06,0.159,0.503,142.578,300467,2016,0,St. Lucia
2710,0.64,0.498,3,-8.678,0,0.0322,0.0502,0.105,0.227,0.27,128.068,188073,2016,45,TENDER
2713,0.567,0.773,6,-3.344,1,0.0451,0.0355,0.000109,0.095,0.731,82.947,218493,2016,42,Sia
2715,0.255,0.479,7,-9.643,1,0.031,0.416,0.579,0.103,0.0609,136.827,266277,2016,49,Fleurie
2717,0.573,0.832,1,-8.264,0,0.0462,0.684,0.359,0.0865,0.42,114.022,291627,2016,13,Wild Nothing
2718,0.367,0.0809,2,-19.351,1,0.0313,0.888,2.35E-05,0.0826,0.204,70.239,244904,2016,0,Gallant
2719,0.508,0.898,8,-4.228,0,0.0357,0.293,0.459,0.155,0.661,155.051,208229,2016,0,Sunflower Bean
2720,0.627,0.465,8,-8.509,1,0.0372,0.324,0.0146,0.12,0.227,100.053,213267,2016,30,Wet
2721,0.477,0.854,9,-4.647,1,0.0552,0.000181,0,0.562,0.408,144.997,193148,2016,0,The Hunna
2722,0.609,0.575,9,-7.342,1,0.151,0.425,5.21E-05,0.15,0.495,83.2,211203,2016,0,Mavis Staples
2723,0.539,0.502,8,-6.611,1,0.036,0.521,0,0.716,0.639,97.056,207867,2016,25,Cam
2724,0.636,0.759,7,-6.284,1,0.0933,0.296,0,0.277,0.49,99.196,215107,2016,29,Conrad Sewell
2725,0.672,0.646,0,-5.357,1,0.0301,0.000971,0,0.117,0.411,115.941,237832,2016,0,Modern Space
2735,0.57,0.764,6,-6.224,0,0.0566,0.000135,0.0284,0.0372,0.402,123.973,203885,2016,37,Hilary Duff
2740,0.496,0.779,2,-6.11,0,0.0336,0.0114,0.0125,0.289,0.357,149.997,301311,2016,0,Yeasayer
2752,0.462,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.405,139.256,203507,2016,76,Panic! At The Disco
2753,0.455,0.91,2,-4.464,1,0.166,0.000247,0,0.107,0.447,114.109,198040,2016,67,Panic! At The Disco
2754,0.556,0.708,7,-5.708,1,0.039,0.00329,0,0.329,0.206,128.006,254320,2016,65,Panic! At The Disco
2755,0.531,0.825,7,-5.333,0,0.0545,0.00191,0,0.329,0.824,156.071,171520,2016,65,Panic! At The Disco
2756,0.506,0.817,11,-5.051,0,0.0335,0.00272,0,0.0486,0.506,109.952,208707,2016,69,Panic! At The Disco
2757,0.174,0.337,10,-8.767,1,0.0313,0.474,0.000294,0.11,0.0978,85.574,202547,2016,63,Panic! At The Disco
2758,0.473,0.794,11,-4.187,1,0.0345,0.00318,2.53E-05,0.157,0.213,140.015,255853,2016,43,BANNERS
2759,0.514,0.312,0,-7.863,1,0.0264,0.217,0,0.065,0.0682,77.02,250600,2016,50,BANNERS
2760,0.51,0.793,11,-4.325,1,0.0473,0.0321,4.14E-05,0.0989,0.123,130.699,223307,2016,46,BANNERS
2761,0.705,0.614,1,-4.866,1,0.0304,0.0198,0,0.0903,0.542,115.481,196707,2016,5,Shakira
2762,0.419,0.879,6,-5.395,1,0.08,0.0169,0,0.0694,0.535,79.993,204480,2016,0,Weezer
2763,0.483,0.813,0,-3.958,1,0.0401,0.0017,0.0196,0.177,0.156,129.943,219840,2016,32,Reuben And The Dark
2766,0.518,0.815,9,-5.55,0,0.343,0.322,4.85E-05,0.22,0.426,175.537,200966,2016,36,Rationale
2767,0.54,0.59,0,-4.359,1,0.0528,0.446,0,0.14,0.267,119.878,234910,2016,8,Flume
2768,0.609,0.79,5,-5.581,0,0.0468,0.00726,1.76E-05,0.317,0.549,107.981,173853,2016,0,The Lovelocks
2769,0.632,0.647,7,-8.449,1,0.0325,0.00189,0.0452,0.113,0.929,123.06,254053,2016,0,Quilt
2770,0.63,0.724,10,-3.048,0,0.0825,0.0123,6.82E-06,0.0592,0.681,82.989,172573,2016,44,Tiggs Da Author
2771,0.576,0.912,7,-3.914,0,0.087,0.266,0,0.343,0.397,129.005,188813,2016,0,Cheat Codes
2773,0.356,0.564,8,-6.767,1,0.0336,0.142,0.115,0.111,0.169,95.402,281907,2016,3,Majical Cloudz
2774,0.413,0.648,0,-7.472,0,0.058,0.9,0.0553,0.0709,0.121,136.188,314520,2016,0,Daughter
2775,0.429,0.814,8,-4.833,1,0.0735,0.0222,0.000187,0.243,0.44,195.952,234067,2016,0,Cardiknox
2776,0.686,0.582,10,-6.088,1,0.0371,0.489,8.09E-06,0.082,0.437,121.97,198971,2016,58,Otto Knows
2777,0.544,0.493,9,-6.043,1,0.0304,0.176,3.57E-06,0.103,0.324,138.011,245920,2016,0,Lucius
2778,0.731,0.816,7,-6.214,1,0.0483,0.00152,0,0.128,0.568,119.056,177333,2016,36,Chairlift
2779,0.511,0.724,0,-4.333,0,0.0495,0.0773,1.09E-05,0.155,0.132,80.01,244611,2016,0,Adventure Club
2780,0.614,0.873,1,-4.821,0,0.12,0.000214,0.786,0.556,0.737,163.008,188516,2016,16,Willa
2781,0.712,0.565,9,-7.451,0,0.0629,0.3,3.00E-05,0.0827,0.501,140.064,250427,2016,34,Lewis Del Mar
2782,0.471,0.551,7,-6.766,1,0.0404,0.00525,0.00158,0.183,0.52,183.96,207507,2016,0,AURORA
