,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
103,0.707,0.771,7,-6.275,1,0.0783,0.434,0.0013,0.115,0.437,142.016,218228,2014,14,Sheppard
104,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,227560,2014,60,Nicki Minaj
105,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,2014,79,Vance Joy
114,0.694,0.692,11,-3.814,0,0.115,0.00955,0,0.466,0.379,93.022,222227,2014,1,Nick Jonas
115,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48E-05,0.146,0.499,130.075,257200,2014,73,Sia
116,0.66,0.382,2,-5.919,0,0.0304,0.391,0,0.0972,0.436,119.875,252227,2014,79,The Weeknd
119,0.645,0.669,0,-7.946,0,0.0638,0.00545,0.00138,0.0997,0.568,100.052,198853,2014,57,Becky G
120,0.753,0.796,9,-6.406,1,0.0576,0.0378,0,0.331,0.605,122.025,199263,2014,7,Andy Grammer
124,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,2014,84,Ed Sheeran
126,0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,219840,2014,74,Ed Sheeran
127,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,197267,2014,18,Ariana Grande
132,0.7,0.672,8,-6.255,1,0.0598,0.00189,0.0338,0.0839,0.262,130.033,259329,2014,42,Echosmith
159,0.53,0.938,11,-3.699,1,0.0624,0.00998,1.96E-05,0.345,0.722,99.831,176656,2014,24,M.O
163,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13E-06,0.0797,0.485,104.987,216107,2014,63,Ella Henderson
166,0.431,0.81,7,-6.051,1,0.0958,0.299,0,0.249,0.674,110.118,205800,2014,57,Nico & Vinz
188,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,2014,85,Ed Sheeran
201,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,2014,80,Calvin Harris
204,0.715,0.931,7,-3.793,1,0.0565,0.171,0,0.0757,0.742,120.025,224853,2014,66,OneRepublic
205,0.447,0.158,2,-7.571,1,0.036,0.872,1.58E-06,0.0816,0.142,140.942,233267,2014,59,A Great Big World
206,0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014,257387,2014,66,OneRepublic
210,0.473,0.82,8,-5.702,1,0.0408,0.031,1.55E-05,0.0414,0.678,84.893,221413,2014,61,Ingrid Michaelson
213,0.485,0.699,2,-6.017,1,0.0479,0.096,0,0.109,0.242,140.096,241560,2014,55,OneRepublic
214,0.725,0.68,8,-5.465,1,0.0306,0.162,2.13E-06,0.158,0.76,119.939,247520,2014,65,Nico & Vinz
216,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,2014,70,Pharrell Williams
218,0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,124.996,268467,2014,79,Coldplay
219,0.67,0.905,2,-2.385,1,0.0339,0.0625,0.000151,0.0577,0.516,100.021,194240,2014,18,American Authors
222,0.694,0.512,6,-8.719,0,0.0451,0.0332,1.27E-06,0.152,0.394,121.997,221493,2014,55,Pentatonix
226,0.774,0.756,1,-4.995,1,0.0389,0.0423,0,0.305,0.931,144.032,224840,2014,78,MAGIC!
237,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59E-05,0.285,0.121,119.987,206167,2014,75,Becky G
246,0.676,0.923,4,-2.849,1,0.0508,0.0562,0,0.147,0.725,101.025,195267,2014,53,Selena Gomez & The Scene
270,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120,2014,80,Sia
271,0.469,0.592,5,-4.962,1,0.0399,0.0393,0,0.105,0.0938,161.996,210613,2014,64,Sia
273,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600,2014,77,One Direction
275,0.681,0.864,3,-3.276,1,0.0301,0.00477,0,0.122,0.921,132.929,174080,2014,66,One Direction
291,0.467,0.815,7,-7.929,0,0.0524,0.0198,1.23E-06,0.118,0.335,140.047,185080,2014,58,OneRepublic
299,0.522,0.834,0,-5.536,1,0.0348,0.0133,0,0.218,0.215,139.994,214867,2014,43,Tove Lo
300,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59E-05,0.0829,0.348,110.003,209160,2014,70,Tove Lo
371,0.508,0.885,0,-3.921,1,0.0754,0.0147,0,0.178,0.349,97.978,212740,2014,0,John Newman
385,0.483,0.947,9,-3.018,0,0.0594,0.000742,0,0.14,0.347,144.948,280800,2014,59,Lindsey Stirling
387,0.739,0.82,5,-6.099,0,0.0889,0.00823,0,0.2,0.775,127.984,228027,2014,49,Chromeo
394,0.784,0.678,6,-6.134,1,0.0452,0.0311,2.68E-05,0.247,0.754,129.042,249573,2014,1,Panama Wedding
408,0.69,0.895,10,-6.305,0,0.0596,0.0693,0.00237,0.102,0.817,122.022,186067,2014,52,Secondcity
416,0.789,0.555,0,-5.9,1,0.041,0.026,0.000135,0.215,0.713,93.229,223405,2014,49,Mary Lambert
418,0.616,0.83,0,-4.757,1,0.034,0.0151,7.44E-06,0.102,0.732,115.01,204467,2014,6,Train
427,0.67,0.752,0,-5.775,1,0.0288,0.0364,0,0.0825,0.764,97.006,244627,2014,43,Ingrid Michaelson
428,0.688,0.555,10,-5.418,0,0.0323,0.0114,0.315,0.102,0.27,99.973,202533,2014,1,Gwen Stefani
584,0.61,0.756,11,-6.567,1,0.0441,0.0731,1.32E-06,0.1,0.31,103.982,238333,2014,1,Maroon 5
588,0.698,0.524,11,-7.522,1,0.051,0.412,0,0.0844,0.31,114.922,289133,2014,67,SoMo
590,0.489,0.914,3,-4.154,1,0.0691,0.0377,0,0.319,0.427,76.016,218907,2014,6,Nickelback
598,0.558,0.719,11,-5.603,1,0.0419,0.101,0,0.212,0.483,158.031,243707,2014,69,Sam Hunt
600,0.516,0.97,2,-3.331,1,0.0447,0.000105,0,0.097,0.663,161.941,243053,2014,5,Nickelback
611,0.61,0.876,0,-4.244,1,0.0394,0.0247,0,0.31,0.783,115.05,180347,2014,56,Frankie Ballard
612,0.59,0.94,9,-4.124,1,0.0409,0.0477,0,0.379,0.732,94.02,235507,2014,56,Sam Hunt
749,0.619,0.77,5,-5.693,1,0.0398,0.0503,0,0.317,0.402,100.972,226107,2014,45,Ben Haenow
752,0.881,0.803,1,-4.067,0,0.0628,0.076,0.000904,0.202,0.539,120.021,202375,2014,39,Gwen Stefani
842,0.697,0.377,3,-7.755,1,0.0397,0.556,0,0.0999,0.336,138.754,244573,2014,70,Ed Sheeran
843,0.66,0.316,3,-11.567,0,0.0364,0.529,0.000294,0.104,0.543,91.207,300253,2014,70,Ed Sheeran
844,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07E-05,0.105,0.359,121.876,241347,2014,72,Ed Sheeran
845,0.552,0.637,5,-6.568,1,0.0445,0.464,1.63E-05,0.136,0.333,97.97,314280,2014,64,Ed Sheeran
846,0.754,0.613,5,-6.342,1,0.229,0.318,0,0.335,0.904,113.196,208400,2014,59,Ed Sheeran
847,0.752,0.76,2,-5.34,1,0.0341,0.319,0,0.335,0.752,107.034,190227,2014,58,Ed Sheeran
848,0.58,0.318,2,-8.926,1,0.0279,0.756,0.000171,0.117,0.295,129.757,228533,2014,59,Ed Sheeran
849,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14E-06,0.252,0.297,76.031,299147,2014,25,Ed Sheeran
850,0.436,0.562,11,-6.106,1,0.0278,0.0102,0.000278,0.198,0.24,150.066,234987,2014,70,Ed Sheeran
882,0.618,0.856,11,-6.482,1,0.047,0.034,0,0.083,0.637,99.968,199113,2014,0,Andy Grammer
883,0.712,0.484,9,-5.68,1,0.185,0.0746,0,0.0661,0.888,179.904,209356,2014,0,Andy Grammer
884,0.534,0.576,7,-6.988,1,0.0294,0.322,0,0.107,0.16,104.998,267932,2014,0,Andy Grammer
885,0.629,0.724,10,-5.28,1,0.0353,0.127,0,0.143,0.365,104.968,214790,2014,0,Andy Grammer
886,0.848,0.663,7,-5.002,1,0.0472,0.0048,0,0.0542,0.782,119.002,191678,2014,0,Andy Grammer
887,0.535,0.721,0,-6.15,1,0.0341,0.129,0,0.262,0.465,139.945,255851,2014,0,Andy Grammer
888,0.581,0.746,6,-4.624,1,0.032,0.0434,0,0.0633,0.459,97.064,185053,2014,0,Andy Grammer
889,0.784,0.882,5,-3.646,1,0.0451,0.0377,0,0.65,0.699,120.017,189870,2014,3,Andy Grammer
893,0.392,0.229,11,-9.486,0,0.0334,0.751,0,0.109,0.0767,98.176,225768,2014,1,The Vamps
894,0.702,0.832,2,-8.067,1,0.0326,0.0165,0,0.338,0.607,118.979,181991,2014,7,The Vamps
933,0.469,0.246,1,-13.491,1,0.0297,0.48,5.54E-05,0.099,0.159,112.967,253800,2014,51,Pentatonix
934,0.504,0.515,9,-8.145,1,0.0355,0.00758,7.77E-06,0.111,0.512,87.883,195427,2014,52,Pentatonix
935,0.803,0.528,11,-7.529,1,0.0431,0.101,2.56E-06,0.0748,0.659,122.026,212693,2014,56,Pentatonix
936,0.643,0.471,6,-8.752,1,0.0298,0.0362,0,0.37,0.428,128.134,199373,2014,41,Pentatonix
942,0.451,0.893,7,-2.721,1,0.0627,0.0243,0,0.0813,0.0971,139.763,238173,2014,58,Carrie Underwood
972,0.634,0.737,0,-5.732,1,0.03,0.113,0.000427,0.114,0.27,89.994,249573,2014,44,OneRepublic
979,0.565,0.916,7,-4.768,1,0.0562,0.0104,1.53E-06,0.0844,0.599,118.012,222680,2014,25,Neon Trees
989,0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866,2014,54,Charli XCX
993,0.404,0.759,3,-6.097,1,0.0433,0.612,0.00118,0.136,0.173,135.062,189160,2014,52,Royal Blood
996,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,2014,75,One Direction
1002,0.565,0.862,4,-3.715,1,0.0326,0.0014,0,0.105,0.647,122.994,229040,2014,66,One Direction
1003,0.678,0.933,2,-4.959,1,0.14,0.0734,0,0.0863,0.336,120.572,214720,2014,67,One Direction
1004,0.558,0.916,1,-3.145,0,0.0839,0.0278,0,0.0296,0.85,142.984,199720,2014,69,One Direction
1007,0.747,0.797,5,-5.351,0,0.0337,0.0147,0,0.12,0.723,119.005,179773,2014,45,R5
1013,0.534,0.515,7,-8.323,1,0.0346,0.157,0.000563,0.644,0.059,120.052,199027,2014,45,AURORA
1050,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,2014,37,WALK THE MOON
1058,0.793,0.774,0,-3.667,0,0.0478,0.156,0,0.193,0.547,113.967,202307,2014,62,Pitbull
1074,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867,2014,65,Bleachers
1092,0.529,0.794,5,-3.903,1,0.164,0.122,0,0.117,0.543,119.956,216667,2014,61,Shaggy
1094,0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.723,124.043,229360,2014,77,Pitbull
1096,0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,238120,2014,67,Cyndi Lauper
1103,0.649,0.592,10,-6.924,1,0.0497,0.0934,0.000529,0.182,0.466,148.01,265693,2014,55,MAGIC!
1110,0.934,0.798,0,-5.665,1,0.0849,0.266,4.54E-05,0.0962,0.895,120.162,201933,2014,50,Pharrell Williams
1113,0.502,0.721,7,-7.747,1,0.0274,0.0155,0.117,0.165,0.587,112.146,213813,2014,1,David Bowie
1144,0.859,0.773,0,-4.137,1,0.0487,0.135,1.98E-05,0.223,0.86,101.491,193707,2014,0,The Staple Singers
1198,0.573,0.592,7,-6.724,1,0.13,0.44,4.17E-06,0.0956,0.707,144.408,167347,2014,10,James Brown
1226,0.579,0.363,7,-14.185,1,0.0308,0.306,0.00692,0.111,0.0754,97.955,256973,2014,55,Jason Mraz
1227,0.431,0.377,2,-9.753,1,0.0288,0.749,0,0.211,0.353,173.67,213627,2014,74,John Mayer
1229,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,240147,2014,22,Hozier
1233,0.684,0.341,9,-9.497,1,0.0272,0.837,2.69E-05,0.0883,0.557,75.948,159507,2014,64,Birdy
1237,0.456,0.67,7,-5.212,1,0.0574,0.588,0,0.116,0.405,128.632,241688,2014,16,Hozier
1240,0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,223640,2014,67,Vance Joy
1245,0.567,0.587,9,-5.626,0,0.0417,0.867,0,0.13,0.572,83.046,272728,2014,59,Common
1248,0.387,0.413,7,-8.95,1,0.0559,0.162,1.56E-05,0.262,0.249,173.73,257484,2014,65,Jessie Ware
1249,0.618,0.577,10,-6.866,1,0.0282,0.378,1.09E-05,0.346,0.426,145.896,177831,2014,37,Tristan Prettyman
1250,0.569,0.541,3,-9.225,1,0.0285,0.315,0.0031,0.197,0.455,112.959,172507,2014,48,Kina Grannis
1251,0.491,0.885,3,-4.121,1,0.0395,0.00219,0,0.0741,0.641,166.992,245467,2014,76,The Script
1253,0.517,0.318,1,-10.455,0,0.03,0.922,1.91E-06,0.121,0.245,88.979,192600,2014,55,You+Me
1254,0.793,0.874,9,-3.92,1,0.0397,0.0246,0.00016,0.307,0.968,136.001,203760,2014,1,Train
1257,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,168520,2014,2,Ariana Grande
1259,0.3,0.477,0,-9.555,1,0.0365,0.438,0.169,0.0924,0.187,112.976,281213,2014,6,Ben Howard
1260,0.464,0.321,2,-11.12,1,0.0418,0.877,0,0.0789,0.306,93.528,252760,2014,67,Ed Sheeran
1261,0.495,0.7,4,-5.639,1,0.144,0.141,0,0.102,0.279,144.426,248747,2014,57,Sia
1272,0.422,0.595,6,-7.202,0,0.0455,0.131,0.0327,0.0907,0.442,123.14,257277,2014,0,Lana Del Rey
1277,0.543,0.925,7,-4.185,1,0.0506,0.0415,2.17E-05,0.181,0.202,143.992,234227,2014,2,LP
1279,0.565,0.673,4,-5.851,0,0.0269,0.0175,1.90E-05,0.11,0.213,99.154,223813,2014,43,Christina Perri
1281,0.626,0.703,11,-5.247,1,0.0306,0.0275,1.66E-06,0.0903,0.522,92.054,210373,2014,54,fun.
1287,0.456,0.342,11,-8.162,0,0.0283,0.129,0,0.124,0.224,84.088,252653,2014,6,John Legend
1289,0.714,0.451,5,-8.268,1,0.0276,0.0883,0,0.108,0.406,127.787,200720,2014,78,George Ezra
1295,0.581,0.751,11,-7.179,1,0.0301,0.138,0.00104,0.0893,0.927,133.851,235427,2014,51,Ray LaMontagne
1299,0.445,0.721,11,-4.016,0,0.0471,0.0598,0,0.129,0.212,147.902,229404,2014,53,Jacquie
1300,0.667,0.622,5,-5.294,1,0.0826,0.551,0,0.473,0.611,76.471,199533,2014,52,Christina Perri
1302,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93.458,285014,2014,64,Coldplay
1304,0.415,0.345,6,-11.332,1,0.029,0.676,0.000932,0.13,0.18,146.757,251373,2014,46,Passenger
1305,0.636,0.367,1,-7.352,1,0.0287,0.443,0,0.109,0.454,119.223,230767,2014,57,Boyce Avenue
1306,0.654,0.625,3,-9.827,1,0.0369,0.8,0.000152,0.108,0.623,109.009,220480,2014,32,Kina Grannis
1309,0.684,0.201,9,-11.731,0,0.0356,0.889,1.89E-05,0.117,0.199,122.758,201987,2014,38,Meg Myers
1312,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,229400,2014,80,A Great Big World
1313,0.626,0.741,7,-5.058,1,0.0585,0.129,0,0.149,0.275,133.901,232640,2014,39,Christina Perri
1321,0.771,0.493,6,-11.132,1,0.0279,0.728,0.067,0.107,0.865,110.321,281813,2014,48,Ray LaMontagne
1358,0.629,0.58,2,-7.233,1,0.0692,0.277,0,0.38,0.557,148.956,224107,2014,38,Mariah Carey
1647,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79E-06,0.0662,0.712,117.513,246027,2014,71,Michael Jackson
1687,0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,231212,2014,71,Ellie Goulding
1691,0.516,0.728,9,-4.56,0,0.0399,0.0856,0,0.126,0.575,145.975,205440,2014,0,Klaxons
1692,0.714,0.783,7,-5.466,0,0.0288,0.0928,3.84E-05,0.582,0.54,121.993,215667,2014,0,Klaxons
1694,0.687,0.674,1,-5.248,1,0.0413,0.47,0,0.0611,0.515,105.038,184978,2014,41,James Blunt
1707,0.498,0.792,8,-4.723,1,0.104,0.0897,0,0.238,0.498,173.917,210840,2014,1,Demi Lovato
1724,0.776,0.574,5,-9.882,0,0.0317,0.466,7.83E-05,0.131,0.412,121.03,138843,2014,54,Lost Frequencies
1742,0.282,0.719,5,-7.633,1,0.0335,0.196,0.000358,0.107,0.276,99.992,291613,2014,0,OneRepublic
1743,0.523,0.861,0,-3.447,1,0.0644,0.0336,0,0.144,0.346,127.049,229149,2014,4,Afrojack
1745,0.541,0.391,10,-10.283,1,0.0294,0.47,0,0.503,0.356,147.756,235299,2014,0,Leroy Sanchez
1746,0.595,0.858,9,-5.393,1,0.0446,0.0828,0,0.234,0.32,119.991,234440,2014,57,OneRepublic
1749,0.365,0.873,4,-4.657,1,0.0436,0.0104,0,0.0839,0.216,156.047,307680,2014,60,The Script
1750,0.393,0.836,9,-3.533,1,0.0363,0.00198,0,0.0698,0.361,180.097,245467,2014,58,The Script
1769,0.654,0.726,10,-3.803,0,0.0401,0.0311,6.35E-05,0.0618,0.728,103.987,211960,2014,70,KONGOS
1770,0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42E-05,0.108,0.1,173.009,288036,2014,40,STARSET
1771,0.375,0.774,2,-4.34,1,0.0839,0.000766,0.000253,0.379,0.215,78.042,189320,2014,4,X Ambassadors
1786,0.353,0.886,11,-4.501,1,0.0481,0.00103,0.00027,0.371,0.66,128.077,236453,2014,0,Arkells
1794,0.694,0.9,5,-5.245,1,0.0456,0.0984,0.946,0.473,0.294,127.995,183750,2014,2,Afrojack
1795,0.651,0.898,11,-4.942,1,0.0391,0.152,0,0.11,0.599,126.05,240893,2014,1,Afrojack
1802,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,185200,2014,81,Alex & Sierra
1803,0.525,0.439,0,-6.596,1,0.0259,0.658,0,0.0636,0.238,84.956,229640,2014,69,Alex & Sierra
1804,0.643,0.804,11,-5.147,1,0.0731,0.0285,1.47E-06,0.0778,0.481,119.928,206467,2014,43,Alex & Sierra
1805,0.428,0.274,3,-7.363,1,0.0394,0.805,0,0.102,0.176,145.067,240173,2014,63,Alex & Sierra
1816,0.697,0.666,4,-5.814,1,0.0335,0.0359,0,0.269,0.478,132.037,178827,2014,1,Us The Duo
1826,0.455,0.284,7,-10.774,1,0.0322,0.715,1.47E-06,0.0897,0.133,133.936,248554,2014,67,Jaymes Young
1844,0.63,0.848,0,-4.592,1,0.0428,0.0834,4.34E-06,0.205,0.551,124.987,219692,2014,59,Clean Bandit
1857,0.78,0.633,9,-6.81,0,0.0424,0.00627,0.892,0.0612,0.582,120.007,325521,2014,59,Ten Walls
1868,0.544,0.914,4,-4.337,1,0.063,0.0113,0,0.485,0.699,145.09,246187,2014,5,Jamie T
1881,0.667,0.726,11,-6.623,1,0.0391,0.453,6.60E-05,0.0869,0.717,99.981,248893,2014,28,Steven A. Clark
1922,0.71,0.52,5,-15.521,1,0.0986,0.822,0,0.105,0.696,99.965,204040,2014,32,Samuel E. Wright
1941,0.567,0.593,4,-7.127,0,0.0375,0.000848,2.09E-06,0.114,0.0398,91.703,224874,2014,2,Troye Sivan
1944,0.49,0.797,0,-3.554,1,0.0388,0.25,0,0.0897,0.472,89.989,157446,2014,35,The Little Estate
1945,0.642,0.664,11,-6.864,1,0.0329,0.26,1.69E-05,0.13,0.356,100.036,232787,2014,0,Virginia To Vegas
