danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.607,0.747,3,-6.241,1,0.0667,0.00155,0.000342,0.136,0.336,130.061,2015,10
0.587,0.62,5,-5.612,0,0.0366,0.00504,0.000181,0.0762,0.286,114.08,2015,6
0.412,0.472,8,-7.543,1,0.0476,0.475,0,0.0974,0.327,139.321,2015,79
0.547,0.697,7,-4.6,1,0.102,0.0151,0,0.358,0.789,93.994,2015,0
0.608,0.897,2,-5.299,1,0.0489,0.00155,0,0.261,0.356,105.032,2015,41
0.605,0.787,9,-5.122,1,0.184,0.444,0,0.0898,0.337,162.506,2015,46
0.399,0.797,2,-4.732,1,0.137,0.0769,0,0.364,0.382,97.354,2015,16
0.635,0.713,6,-5.246,0,0.0385,0.0983,0,0.301,0.385,80.937,2015,2
0.81,0.69,0,-5.601,1,0.0679,0.185,0,0.0744,0.761,117,2015,3
0.521,0.213,0,-13.173,1,0.0455,0.938,0,0.675,0.416,82.654,2015,2
0.614,0.46,5,-7.345,1,0.111,0.78,0,0.105,0.761,187.289,2015,41
0.684,0.829,0,-5.469,1,0.0531,0.0824,1.17E-06,0.227,0.886,85.961,2015,0
0.573,0.97,4,-3.751,0,0.0474,0.0428,0.00123,0.151,0.146,101.993,2015,0
0.408,0.957,0,-5.075,1,0.126,0.000249,0.000137,0.187,0.373,147.047,2015,20
0.712,0.645,5,-7.723,0,0.101,0.172,0.076,0.0921,0.582,98.986,2015,0
0.625,0.874,6,-8.236,1,0.0508,0.000751,4.68E-06,0.0943,0.696,124.982,2015,9
0.698,0.858,11,-5.393,0,0.0348,0.000608,0.000591,0.207,0.421,128.013,2015,26
0.867,0.899,0,-5.334,1,0.0354,0.101,0.00473,0.125,0.932,128.062,2015,37
0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,2015,80
0.471,0.464,4,-8.912,1,0.0345,0.601,2.37E-05,0.107,0.27,104.87,2015,43
0.476,0.73,8,-5.476,1,0.287,0.477,0,0.0934,0.553,78.381,2015,48
0.476,0.73,8,-5.476,1,0.287,0.477,0,0.0934,0.553,78.381,2015,48
0.597,0.907,11,-5.301,0,0.113,0.0966,2.20E-06,0.207,0.826,156.006,2015,44
0.539,0.869,6,-5.341,1,0.0471,0.00463,0,0.324,0.362,143.987,2015,62
0.658,0.566,7,-6.179,1,0.0259,0.771,0,0.167,0.498,80.035,2015,51
0.485,0.543,6,-5.865,1,0.0641,0.157,0.000329,0.103,0.114,171.848,2015,49
0.504,0.591,2,-5.498,1,0.0805,0.00662,6.26E-05,0.0961,0.612,81.515,2015,44
0.616,0.709,10,-6.134,1,0.0312,0.00406,2.56E-06,0.501,0.553,122.984,2015,45
0.552,0.895,6,-3.498,0,0.0432,0.0261,0,0.332,0.698,85.496,2015,43
0.651,0.785,0,-5.587,0,0.0425,0.00738,0,0.197,0.572,88.98,2015,42
0.466,0.813,1,-4.708,1,0.0813,0.0035,1.09E-06,0.0714,0.241,139.729,2015,40
0.554,0.732,0,-5.255,1,0.0387,0.078,0.000649,0.813,0.133,96.958,2015,25
0.881,0.644,1,-7.134,0,0.103,0.644,0.409,0.116,0.536,110.026,2015,59
0.411,0.364,1,-15.335,1,0.0743,0.951,0.93,0.126,0.0685,95.967,2015,64
