,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
0,0.67,0.637,4,-5.275,0,0.0445,0.0543,0,0.356,0.301,134.056,235947,2016,3
1,0.803,0.464,1,-7.684,0,0.0983,0.221,1.13E-06,0.123,0.585,108.781,177293,2016,0
2,0.517,0.451,2,-8.275,1,0.145,0.0348,0,0.249,0.074,102.282,223867,2016,0
3,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,197267,2014,81
4,0.635,0.735,9,-5.872,1,0.0978,0.0161,1.26E-06,0.151,0.377,107.979,244440,2016,2
5,0.707,0.325,2,-11.774,0,0.0458,0.000462,0,0.119,0.313,118.975,65693,2015,67
6,0.648,0.319,5,-8.314,1,0.0352,0.124,0,0.376,0.398,128.041,161280,2015,70
7,0.71,0.396,11,-11.247,0,0.0843,0.492,0,0.221,0.63,89.941,116267,2015,74
8,0.434,0.281,9,-7.828,1,0.0294,0.18,1.01E-05,0.142,0.318,128.973,122760,2015,68
9,0.561,0.368,8,-7.351,1,0.0338,0.0763,1.99E-06,0.1,0.237,101.978,166253,2015,70
10,0.639,0.219,0,-10.204,1,0.0717,0.93,0,0.227,0.797,74.739,158720,2015,74
11,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.009,193920,2014,75
12,0.443,0.663,8,-5.946,0,0.0432,0.0494,0,0.153,0.331,159.856,211880,2014,62
13,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35E-05,0.204,0.284,129.956,214840,2014,75
14,0.654,0.578,6,-6.897,1,0.449,0.546,0,0.112,0.233,143.867,233733,2014,68
15,0.622,0.586,3,-6.241,0,0.0356,0.0735,7.41E-06,0.0803,0.434,145.08,217053,2014,61
16,0.726,0.605,6,-5.673,1,0.0628,0.0113,0,0.0639,0.588,93.93,253387,2014,62
17,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,236133,2014,76
18,0.439,0.322,9,-5.959,1,0.028,0.692,0,0.103,0.16,77.963,232587,2014,68
19,0.662,0.766,7,-5.694,1,0.0377,0.214,0,0.324,0.376,97.959,192227,2014,56
20,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,168520,2014,63
21,0.703,0.747,0,-4.446,0,0.0895,0.283,0,0.396,0.7,149.974,199320,2014,62
22,0.381,0.631,0,-5.886,1,0.262,0.0453,0,0.129,0.37,170.187,233720,2014,57
23,0.692,0.608,8,-5.233,0,0.041,0.218,0,0.348,0.449,125.012,339733,2013,61
24,0.725,0.796,1,-3.684,1,0.0326,0.0154,0,0.354,0.517,101.976,197600,2013,60
25,0.621,0.834,7,-3.166,1,0.105,0.127,0,0.0854,0.561,156.095,247080,2013,56
26,0.536,0.521,7,-4.128,1,0.0274,0.41,0,0.142,0.314,72.06,194707,2013,61
27,0.624,0.821,1,-3.844,0,0.0422,0.112,0,0.276,0.449,93.984,180693,2013,48
28,0.738,0.804,1,-4.286,0,0.0821,0.163,0,0.826,0.717,120.017,234427,2013,51
29,0.675,0.643,7,-6.004,1,0.0315,0.233,0,0.561,0.325,114.051,211293,2013,52
30,0.645,0.877,5,-3.208,0,0.113,0.294,0,0.0759,0.861,82.324,227027,2013,69
31,0.764,0.842,6,-3.835,1,0.059,0.0546,0,0.0351,0.869,105.018,214280,2013,52
