,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
0,0.373,0.56,9,-7.615,0,0.0448,0.132,0,0.381,0.187,98.858,328907,2016,1
1,0.703,0.699,2,-7.322,1,0.044,0.00113,0.000779,0.246,0.0393,99.991,255787,2016,1
2,0.442,0.421,2,-11.455,1,0.137,0.376,7.23E-06,0.139,0.111,87.694,297373,2016,1
3,0.581,0.673,7,-7.111,1,0.162,0.032,6.38E-06,0.116,0.209,193.668,240653,2016,3
4,0.785,0.633,7,-8.223,1,0.169,0.0259,0,0.368,0.244,129.97,209413,2016,1
5,0.62,0.722,1,-7.022,1,0.322,0.0733,0,0.273,0.365,82.918,253533,2016,1
6,0.66,0.311,0,-8.681,1,0.113,0.625,1.29E-06,0.116,0.357,119.237,333947,2016,1
7,0.872,0.407,1,-10.036,1,0.256,0.152,0.000188,0.112,0.802,127.97,195053,2016,3
8,0.536,0.446,1,-10.489,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,290133,2016,1
9,0.834,0.438,0,-9.577,1,0.152,0.0212,0,0.649,0.207,133.958,189853,2016,3
10,0.607,0.476,10,-11.076,0,0.249,0.0773,0,0.113,0.347,122.976,245227,2016,11
11,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,2016,21
12,0.711,0.44,1,-9.509,1,0.471,0.00175,2.73E-06,0.0798,0.121,145.116,220427,2016,2
13,0.691,0.482,1,-11.14,1,0.231,0.0173,7.10E-06,0.197,0.305,160.027,241400,2016,3
14,0.724,0.456,7,-10.009,1,0.127,0.215,2.41E-06,0.105,0.0481,133.051,212947,2016,2
15,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49E-05,0.102,0.392,117.983,263373,2016,14
16,0.687,0.267,4,-8.818,0,0.0297,0.372,0.00411,0.0992,0.307,131.962,106333,2016,0
17,0.709,0.259,1,-14.341,0,0.0892,0.0803,0,0.0855,0.265,79.839,238120,2016,3
18,0.446,0.871,5,-5.837,1,0.367,0.07,0,0.243,0.0795,78.119,311960,2016,1
19,0.903,0.62,2,-8.094,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,2016,11
20,0.889,0.543,2,-7.666,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,231231,2015,1
21,0.769,0.676,8,-6.48,0,0.277,0.00179,0,0.251,0.304,131.938,217707,2015,2
22,0.885,0.485,4,-8.491,0,0.24,0.0335,0,0.0805,0.293,82.992,211643,2015,0
23,0.522,0.362,1,-10.827,1,0.048,0.139,2.83E-05,0.111,0.17,135.797,314632,2015,1
24,0.511,0.416,0,-9.203,0,0.384,0.0931,1.12E-05,0.0974,0.289,86.678,209288,2015,0
25,0.84,0.477,1,-6.599,1,0.325,0.0106,0,0.157,0.36,170.99,202085,2015,1
26,0.842,0.519,0,-9.255,1,0.223,0.000394,0.00069,0.131,0.249,160.003,180000,2015,0
27,0.804,0.334,0,-10.135,1,0.385,0.0204,0,0.118,0.202,137.855,220862,2015,0
28,0.853,0.558,1,-7.448,1,0.202,0.0462,0,0.341,0.654,142.079,205879,2015,8
29,0.757,0.528,0,-10.799,0,0.274,0.511,0.000334,0.0936,0.302,146.056,188703,2015,1
30,0.747,0.621,4,-9.115,0,0.394,0.653,0,0.124,0.306,89.282,253935,2015,0
31,0.712,0.563,1,-7.573,1,0.071,0.0269,0,0.0776,0.299,100.093,241853,2015,4
32,0.748,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.105,181933,2015,5
33,0.825,0.757,11,-3.687,0,0.384,0.262,1.72E-06,0.0762,0.89,172.938,177733,2015,2
34,0.733,0.412,11,-8.687,0,0.225,0.196,0,0.342,0.179,114.413,275840,2015,4
35,0.823,0.467,0,-10.394,0,0.301,0.543,0,0.135,0.618,95.024,310933,2015,1
36,0.905,0.506,2,-8.598,1,0.0588,0.0149,3.56E-05,0.371,0.122,110.017,177840,2015,1
37,0.859,0.623,2,-8.596,1,0.106,0.0248,0,0.125,0.482,105.45,180667,2015,2
38,0.521,0.392,3,-7.88,1,0.17,0.747,8.81E-06,0.198,0.166,91.938,294973,2015,1
39,0.605,0.511,11,-8.094,0,0.475,0.165,8.95E-05,0.104,0.379,65.256,236973,2015,1
40,0.321,0.466,9,-8.163,0,0.0512,0.729,7.63E-06,0.215,0.194,135.089,212280,2015,1
41,0.926,0.427,10,-7.584,0,0.107,0.0703,0.00033,0.0818,0.305,96.023,268480,2015,1
42,0.812,0.535,4,-9.306,1,0.449,0.217,0,0.114,0.321,78.974,167653,2015,1
43,0.555,0.481,10,-7.419,0,0.0322,0.124,0,0.101,0.0981,107.806,281320,2015,1
44,0.651,0.55,7,-8.216,1,0.0496,0.0403,0,0.165,0.119,107.571,252640,2015,0
45,0.574,0.476,3,-7.444,1,0.282,0.166,0,0.129,0.223,154.531,264907,2015,0
46,0.69,0.235,7,-8.651,1,0.0541,0.618,0.000144,0.107,0.378,99.906,320400,2015,3
47,0.554,0.849,5,-4.154,1,0.25,0.107,0,0.155,0.386,128.428,283307,2015,0
48,0.472,0.468,3,-5.815,1,0.184,0.163,0,0.586,0.404,81.94,236360,2013,57
49,0.668,0.515,1,-6.977,1,0.402,0.0703,0,0.223,0.425,122.014,271573,2013,63
50,0.676,0.717,11,-8.219,0,0.0869,0.29,0.000368,0.0974,0.558,157.628,241000,2013,54
51,0.489,0.57,1,-10.291,1,0.306,0.759,2.10E-06,0.179,0.584,185.516,272573,2011,63
52,0.566,0.465,2,-11.714,1,0.235,0.0555,0,0.567,0.177,143.015,224720,2011,67
53,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,2011,73
