,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
0,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187,2012,42
1,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,220827,2012,59
2,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,240773,2012,41
3,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,217973,2012,65
4,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893,2012,48
5,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,2012,60
6,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,242573,2012,44
7,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,191880,2012,64
8,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,204827,2012,42
9,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,298293,2012,42
10,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,201853,2012,43
11,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,283680,2012,40
12,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,240133,2012,39
13,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,243933,2012,61
14,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,217827,2012,42
15,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,237613,2012,57
16,0.683,0.627,6,-5.473,1,0.0345,0.265,4.81E-06,0.21,0.645,80.028,249760,2013,0
17,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,230707,2010,64
18,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,260933,2010,50
19,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,293027,2010,63
20,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,240760,2010,49
21,0.589,0.47,4,-5.32,1,0.028,0.166,1.45E-06,0.112,0.102,119.386,403920,2010,47
22,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,237733,2010,63
23,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,2010,57
24,0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,290467,2010,49
25,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187,2010,59
26,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37E-06,0.36,0.635,145.821,217160,2010,47
27,0.552,0.608,1,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05,302253,2010,43
28,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08E-06,0.149,0.352,162.088,242080,2010,45
29,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09E-05,0.101,0.196,89.038,367133,2010,47
30,0.418,0.68,7,-4.3,1,0.0346,0.036,7.59E-05,0.108,0.142,204.125,317947,2010,48
31,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.20E-06,0.1,0.679,121.011,230333,2010,47
32,0.536,0.444,2,-6.381,1,0.0269,0.789,0,0.192,0.36,141.662,292280,2010,0
33,0.512,0.727,4,-3.352,1,0.0265,0.168,3.27E-06,0.322,0.258,147.809,234320,2010,0
34,0.579,0.445,5,-4.931,1,0.0244,0.844,0,0.198,0.33,80.983,217347,2010,0
35,0.613,0.56,0,-7.246,1,0.0289,0.543,0,0.0884,0.239,159.819,237613,2011,0
