danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.416,0.341,9,-10.749,1,0.0391,0.864,0,0.724,0.776,177.229,1948,63
0.853,0.338,7,-9.124,1,0.0491,0.831,0.00595,0.135,0.927,113.881,1953,51
0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,0.419,122.545,1956,64
0.556,0.61,9,-4.729,1,0.213,0.833,2.22E-06,0.258,0.665,199.373,1957,67
0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203,1957,64
0.541,0.608,7,-13.083,1,0.106,0.298,0,0.234,0.938,171.992,1958,65
0.435,0.0359,8,-26.177,1,0.0384,0.949,0.000371,0.137,0.186,98.358,1958,3
0.357,0.756,0,-8.492,1,0.0621,0.733,0.00505,0.76,0.95,174.797,1958,71
0.647,0.582,10,-9.538,0,0.0755,0.41,1.93E-06,0.0715,0.915,167.396,1958,74
0.696,0.21,4,-11.922,1,0.067,0.84,1.62E-06,0.107,0.717,93.543,1958,64
0.697,0.55,2,-11.496,1,0.18,0.856,3.44E-05,0.0907,0.844,84.802,1958,63
0.452,0.24,1,-14.014,1,0.0351,0.912,2.45E-06,0.175,0.701,134.005,1959,67
0.196,0.179,7,-19.269,1,0.0372,0.974,0.894,0.175,0.112,89.175,1959,16
0.654,0.55,3,-8.368,1,0.0878,0.824,3.02E-06,0.0682,0.706,101.678,1960,8
0.413,0.559,2,-8.938,0,0.217,0.653,2.05E-05,0.565,0.7,158.812,1961,49
0.229,0.0642,3,-15.848,1,0.0373,0.876,7.47E-05,0.0946,0.0789,96.901,1961,41
0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,1961,62
0.441,0.713,1,-12.279,1,0.0745,0.474,0.000479,0.0782,0.936,180.053,1961,48
0.428,0.244,2,-15.447,1,0.0269,0.953,0.000144,0.102,0.39,100.495,1961,80
0.788,0.38,10,-15.179,1,0.0346,0.811,0.906,0.102,0.892,138.205,1962,61
0.35,0.293,2,-9.502,1,0.0258,0.758,8.21E-06,0.104,0.162,96.685,1962,61
0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231,1963,73
0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32E-05,0.0605,0.44,174.874,1963,70
0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,1963,66
0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,1963,58
0.53,0.26,5,-12.218,1,0.0357,0.673,1.20E-05,0.116,0.805,117.861,1963,49
0.622,0.694,4,-4.581,1,0.034,0.192,0.000723,0.41,0.75,124.123,1964,66
