,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,Drake,Maroon 5,Taylor Swift,popularity
0,1,0.707,0.325,2,-11.774,0,0.0458,0.000462,0,0.119,0.313,118.975,2015,0.499849,0.229775,1.414,-8.324218,0,0.0323806,0.000326634,0,0.084133,0.221291,84.115325,1424.605,0.105625,0.65,-3.82655,0,0.014885,0.00015015,0,0.038675,0.101725,38.666875,654.875,4,-23.548,0,0.0916,0.000924,0,0.238,0.626,237.95,4030,138.627076,0,-0.5392492,-0.005439588,0,-1.401106,-3.685262,-1400.81165,-23724.61,0,0,0,0,0,0,0,0,0.00209764,2.12E-05,0,0.0054502,0.0143354,5.449055,92.287,2.13E-07,0,5.50E-05,0.000144606,0.05496645,0.93093,0,0,0,0,0,0.014161,0.037247,14.158025,239.785,0.097969,37.239175,630.695,14155.05062,239734.625,4060225,-2350.691287,-6964.890229,1,0,0,0,67
1,1,0.648,0.319,5,-8.314,1,0.0352,0.124,0,0.376,0.398,128.041,2015,0.419904,0.206712,3.24,-5.387472,0.648,0.0228096,0.080352,0,0.243648,0.257904,82.970568,1305.72,0.101761,1.595,-2.652166,0.319,0.0112288,0.039556,0,0.119944,0.126962,40.845079,642.785,25,-41.57,5,0.176,0.62,0,1.88,1.99,640.205,10075,69.122596,-8.314,-0.2926528,-1.030936,0,-3.126064,-3.308972,-1064.532874,-16752.71,1,0.0352,0.124,0,0.376,0.398,128.041,2015,0.00123904,0.0043648,0,0.0132352,0.0140096,4.5070432,70.928,0.015376,0,0.046624,0.049352,15.877084,249.86,0,0,0,0,0,0.141376,0.149648,48.143416,757.64,0.158404,50.960318,801.97,16394.49768,258002.615,4060225,16241.34667,-189.904666,1,0,0,0,70
2,1,0.71,0.396,11,-11.247,0,0.0843,0.492,0,0.221,0.63,89.941,2015,0.5041,0.28116,7.81,-7.98537,0,0.059853,0.34932,0,0.15691,0.4473,63.85811,1430.65,0.156816,4.356,-4.453812,0,0.0333828,0.194832,0,0.087516,0.24948,35.616636,797.94,121,-123.717,0,0.9273,5.412,0,2.431,6.93,989.351,22165,126.495009,0,-0.9481221,-5.533524,0,-2.485587,-7.08561,-1011.566427,-22662.705,0,0,0,0,0,0,0,0,0.00710649,0.0414756,0,0.0186303,0.053109,7.5820263,169.8645,0.242064,0,0.108732,0.30996,44.250972,991.38,0,0,0,0,0,0.048841,0.13923,19.876961,445.315,0.3969,56.66283,1269.45,8089.383481,181231.115,4060225,-60992.11807,11724.95041,1,0,0,0,74
3,1,0.434,0.281,9,-7.828,1,0.0294,0.18,1.01E-05,0.142,0.318,128.973,2015,0.188356,0.121954,3.906,-3.397352,0.434,0.0127596,0.07812,4.38E-06,0.061628,0.138012,55.974282,874.51,0.078961,2.529,-2.199668,0.281,0.0082614,0.05058,2.84E-06,0.039902,0.089358,36.241413,566.215,81,-70.452,9,0.2646,1.62,9.09E-05,1.278,2.862,1160.757,18135,61.277584,-7.828,-0.2301432,-1.40904,-7.91E-05,-1.111576,-2.489304,-1009.600644,-15773.42,1,0.0294,0.18,1.01E-05,0.142,0.318,128.973,2015,0.00086436,0.005292,2.97E-07,0.0041748,0.0093492,3.7918062,59.241,0.0324,1.82E-06,0.02556,0.05724,23.21514,362.7,1.02E-10,1.43E-06,3.21E-06,0.001302627,0.0203515,0.020164,0.045156,18.314166,286.13,0.101124,41.013414,640.77,16634.03473,259880.595,4060225,18211.31729,7914.160053,1,0,0,0,68
4,1,0.561,0.368,8,-7.351,1,0.0338,0.0763,1.99E-06,0.1,0.237,101.978,2015,0.314721,0.206448,4.488,-4.123911,0.561,0.0189618,0.0428043,1.12E-06,0.0561,0.132957,57.209658,1130.415,0.135424,2.944,-2.705168,0.368,0.0124384,0.0280784,7.32E-07,0.0368,0.087216,37.527904,741.52,64,-58.808,8,0.2704,0.6104,1.59E-05,0.8,1.896,815.824,16120,54.037201,-7.351,-0.2484638,-0.5608813,-1.46E-05,-0.7351,-1.742187,-749.640278,-14812.265,1,0.0338,0.0763,1.99E-06,0.1,0.237,101.978,2015,0.00114244,0.00257894,6.73E-08,0.00338,0.0080106,3.4468564,68.107,0.00582169,1.52E-07,0.00763,0.0180831,7.7809214,153.7445,3.96E-12,1.99E-07,4.72E-07,0.000202936,0.00400985,0.01,0.0237,10.1978,201.5,0.056169,24.168786,477.555,10399.51248,205485.67,4060225,-36518.49652,6604.381048,1,0,0,0,70
5,1,0.639,0.219,0,-10.204,1,0.0717,0.93,0,0.227,0.797,74.739,2015,0.408321,0.139941,0,-6.520356,0.639,0.0458163,0.59427,0,0.145053,0.509283,47.758221,1287.585,0.047961,0,-2.234676,0.219,0.0157023,0.20367,0,0.049713,0.174543,16.367841,441.285,0,0,0,0,0,0,0,0,0,0,104.121616,-10.204,-0.7316268,-9.48972,0,-2.316308,-8.132588,-762.636756,-20561.06,1,0.0717,0.93,0,0.227,0.797,74.739,2015,0.00514089,0.066681,0,0.0162759,0.0571449,5.3587863,144.4755,0.8649,0,0.21111,0.74121,69.50727,1873.95,0,0,0,0,0,0.051529,0.180919,16.965753,457.405,0.635209,59.566983,1605.955,5585.918121,150599.085,4060225,-91802.63526,-9637.732703,1,0,0,0,74
6,1,0.334,0.622,5,-5.611,0,0.0632,0.0826,1.34E-05,0.106,0.209,139.546,2015,0.111556,0.207748,1.67,-1.874074,0,0.0211088,0.0275884,4.48E-06,0.035404,0.069806,46.608364,673.01,0.386884,3.11,-3.490042,0,0.0393104,0.0513772,8.33E-06,0.065932,0.129998,86.797612,1253.33,25,-28.055,0,0.316,0.413,6.70E-05,0.53,1.045,697.73,10075,31.483321,0,-0.3546152,-0.4634686,-7.52E-05,-0.594766,-1.172699,-782.992606,-11306.165,0,0,0,0,0,0,0,0,0.00399424,0.00522032,8.47E-07,0.0066992,0.0132088,8.8193072,127.348,0.00682276,1.11E-06,0.0087556,0.0172634,11.5264996,166.439,1.80E-10,1.42E-06,2.80E-06,0.001869916,0.027001,0.011236,0.022154,14.791876,213.59,0.043681,29.165114,421.135,19473.08612,281185.19,4060225,39731.07145,474.4129726,1,0,0,0,59
7,1,0.672,0.876,6,-6.036,1,0.244,0.266,0,0.444,0.79,100.018,2015,0.451584,0.588672,4.032,-4.056192,0.672,0.163968,0.178752,0,0.298368,0.53088,67.212096,1354.08,0.767376,5.256,-5.287536,0.876,0.213744,0.233016,0,0.388944,0.69204,87.615768,1765.14,36,-36.216,6,1.464,1.596,0,2.664,4.74,600.108,12090,36.433296,-6.036,-1.472784,-1.605576,0,-2.679984,-4.76844,-603.708648,-12162.54,1,0.244,0.266,0,0.444,0.79,100.018,2015,0.059536,0.064904,0,0.108336,0.19276,24.404392,491.66,0.070756,0,0.118104,0.21014,26.604788,535.99,0,0,0,0,0,0.197136,0.35076,44.407992,894.66,0.6241,79.01422,1591.85,10003.60032,201536.27,4060225,-40456.63101,3075.09567,1,0,0,0,67
8,1,0.739,0.597,0,-5.335,0,0.0801,0.0997,0,0.119,0.787,104.991,2015,0.546121,0.441183,0,-3.942565,0,0.0591939,0.0736783,0,0.087941,0.581593,77.588349,1489.085,0.356409,0,-3.184995,0,0.0478197,0.0595209,0,0.071043,0.469839,62.679627,1202.955,0,0,0,0,0,0,0,0,0,0,28.462225,0,-0.4273335,-0.5318995,0,-0.634865,-4.198645,-560.126985,-10750.025,0,0,0,0,0,0,0,0,0.00641601,0.00798597,0,0.0095319,0.0630387,8.4097791,161.4015,0.00994009,0,0.0118643,0.0784639,10.4676027,200.8955,0,0,0,0,0,0.014161,0.093653,12.493929,239.785,0.619369,82.627917,1585.805,11023.11008,211556.865,4060225,-30450.51019,-8704.751396,1,0,0,0,56
9,1,0.514,0.774,7,-5.569,1,0.279,0.343,0,0.28,0.604,116.037,2015,0.264196,0.397836,3.598,-2.862466,0.514,0.143406,0.176302,0,0.14392,0.310456,59.643018,1035.71,0.599076,5.418,-4.310406,0.774,0.215946,0.265482,0,0.21672,0.467496,89.812638,1559.61,49,-38.983,7,1.953,2.401,0,1.96,4.228,812.259,14105,31.013761,-5.569,-1.553751,-1.910167,0,-1.55932,-3.363676,-646.210053,-11221.535,1,0.279,0.343,0,0.28,0.604,116.037,2015,0.077841,0.095697,0,0.07812,0.168516,32.374323,562.185,0.117649,0,0.09604,0.207172,39.800691,691.145,0,0,0,0,0,0.0784,0.16912,32.49036,564.2,0.364816,70.086348,1217.06,13464.58537,233814.555,4060225,-7972.286374,4881.822833,1,0,0,0,55
